Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,26d662c851517364bcd651ac25e6c5c0f16625a7,2,618
OpenEdX,Engineering/Networking-SP/SelfPaced,bccdf103bd74a88804696080bffa59461d2b4729,5,1640
OpenEdX,Engineering/Networking-SP/SelfPaced,95ce3080b13d04b4f84ab8a6433ea50bb7c99342,11,547
OpenEdX,Engineering/Networking-SP/SelfPaced,95ce3080b13d04b4f84ab8a6433ea50bb7c99342,12,61
OpenEdX,Engineering/Networking-SP/SelfPaced,79747da65f5b71ac9ed1f726d0cca78cd61c2ea4,23,276
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,1,22931
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,2,12253
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,3,20145
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,4,7570
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,6,15380
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,7,8200
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,8,5386
OpenEdX,Engineering/Networking-SP/SelfPaced,4747d006f390f4614ef8dacf762f8395c526c27c,9,1
OpenEdX,Engineering/Networking-SP/SelfPaced,e47e52f8df268e02181bcb2815148dc7d5229832,3,2154
OpenEdX,Engineering/Networking-SP/SelfPaced,b4842b4492891bb861de2dba92b1beff9e0c5891,7,4502
OpenEdX,Engineering/Networking-SP/SelfPaced,81b1e2f8f8fe7b53f817fb6b5ff7b4845fb5218f,2,2293
OpenEdX,Engineering/Networking-SP/SelfPaced,81b1e2f8f8fe7b53f817fb6b5ff7b4845fb5218f,7,839
OpenEdX,Engineering/Networking-SP/SelfPaced,81b1e2f8f8fe7b53f817fb6b5ff7b4845fb5218f,15,245
OpenEdX,Engineering/Networking-SP/SelfPaced,86e5fbe5d89842f8d4f310952cd97260df6be78b,1,892
OpenEdX,Engineering/Networking-SP/SelfPaced,e79a3d43c85727d74dfd25ad248eae1b925567f2,23,2279
OpenEdX,Engineering/Networking-SP/SelfPaced,00737f910493da91a6d2ab8d125d92d2e0700817,9,1
OpenEdX,Engineering/Networking-SP/SelfPaced,5b922068f98d5e3525612e7fee0c62ef45fb11b6,1,93
OpenEdX,Engineering/Networking-SP/SelfPaced,5b922068f98d5e3525612e7fee0c62ef45fb11b6,16,583
OpenEdX,Engineering/Networking-SP/SelfPaced,6beaa8ccc27dd8c28ec1f5a9a5ded6e27cd77176,13,3329
OpenEdX,Engineering/Networking-SP/SelfPaced,6beaa8ccc27dd8c28ec1f5a9a5ded6e27cd77176,14,3064
OpenEdX,Engineering/Networking-SP/SelfPaced,b684c3b9d53f68a68447606a5763b4b2d51c1211,7,1247
OpenEdX,Engineering/Networking-SP/SelfPaced,b684c3b9d53f68a68447606a5763b4b2d51c1211,9,3155
OpenEdX,Engineering/Networking-SP/SelfPaced,b684c3b9d53f68a68447606a5763b4b2d51c1211,11,342
OpenEdX,Engineering/Networking-SP/SelfPaced,b684c3b9d53f68a68447606a5763b4b2d51c1211,19,1910
OpenEdX,Engineering/Networking-SP/SelfPaced,8509dc6a3959865a6fa71a1942e0bdfa286f292d,10,6333
OpenEdX,Engineering/Networking-SP/SelfPaced,8509dc6a3959865a6fa71a1942e0bdfa286f292d,11,7053
OpenEdX,Engineering/Networking-SP/SelfPaced,8509dc6a3959865a6fa71a1942e0bdfa286f292d,12,1
OpenEdX,Engineering/Networking-SP/SelfPaced,e4ddb5f3eb56f0ca8e56eecf16eae0364d26e68e,9,1771
OpenEdX,Engineering/Networking-SP/SelfPaced,0b79d455a6c8e8165411c8ba77a82b4c3e5e3e24,1,891
OpenEdX,Engineering/Networking-SP/SelfPaced,f590af7c9d966d94df8c0104182277759ba73dad,10,438
OpenEdX,Engineering/Networking-SP/SelfPaced,f590af7c9d966d94df8c0104182277759ba73dad,12,2416
OpenEdX,Engineering/Networking-SP/SelfPaced,242695891a49db85047081e5674dc8f625f7a81f,15,20726
OpenEdX,Engineering/Networking-SP/SelfPaced,242695891a49db85047081e5674dc8f625f7a81f,16,5435
OpenEdX,Engineering/Networking-SP/SelfPaced,242695891a49db85047081e5674dc8f625f7a81f,24,10
OpenEdX,Engineering/Networking-SP/SelfPaced,9358b6d7e69175dfa4fab15fd98b7ddd4a184f0e,2,176
OpenEdX,Engineering/Networking-SP/SelfPaced,d6523f99eb461d4f943e440e8d5da87342438081,20,2671
OpenEdX,Engineering/Networking-SP/SelfPaced,d6523f99eb461d4f943e440e8d5da87342438081,21,124
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,10,15300
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,11,7147
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,12,862
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,13,6177
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,14,821
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,16,5955
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,17,1
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,18,1635
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,19,2180
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,20,4547
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,21,14501
OpenEdX,Engineering/Networking-SP/SelfPaced,911360829952cabed622fc1b255dacaf5cb70ace,22,5090
OpenEdX,Engineering/Networking-SP/SelfPaced,80e4562d36e7c3206fb61eb7a499d2cfc8c667ab,1,9
OpenEdX,Engineering/Networking-SP/SelfPaced,62413ee359f1ced601e09c8a4c2d85990d34cb16,14,191
OpenEdX,Engineering/Networking-SP/SelfPaced,62413ee359f1ced601e09c8a4c2d85990d34cb16,20,629
OpenEdX,Engineering/Networking-SP/SelfPaced,62413ee359f1ced601e09c8a4c2d85990d34cb16,21,1577
